WKR_NR;Gebiet;gehört zu;Gewählt;Wahlberechtigte;Wahlberechtigte;Wahlberechtigte;Wahlberechtigte;Wählende;Wählende;Wählende;Wählende;Ungültige Stimmen;Ungültige Stimmen;Ungültige Stimmen;Ungültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;SPD;SPD;SPD;SPD;CDU;CDU;CDU;CDU;B90/GRÜNE;B90/GRÜNE;B90/GRÜNE;B90/GRÜNE;FDP;FDP;FDP;FDP;AFD;AFD;AFD;AFD;CSU;CSU;CSU;CSU;DIELINKE;DIELINKE;DIELINKE;DIELINKE
;;;;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen
;;;;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode
93;Köln II;5;BÜNDNIS 90/DIE GRÜNEN;243912;242483;243912;242483;214600;204955;214600;204955;1213;972;679;622;213387;203983;213921;204333;35124;40103;37916;43193;59925;50918;53426;41834;72858;70658;55085;65240;8061;16950;12933;26470;12775;5587;13444;5891;;;;;18454;8771;28762;10399
94;Köln III;5;BÜNDNIS 90/DIE GRÜNEN;206670;204539;206670;204539;169135;155242;169135;155242;1314;1107;782;840;167821;154135;168353;154402;43307;46149;33496;39901;32638;28674;32522;27485;43697;43600;36769;44407;4773;10708;5715;13845;19459;8015;18860;7876;;;;;18806;8435;27502;9903
95;Bonn;5;Christlich Demokratische Union Deutschlands;228611;230215;228611;230215;193693;185557;193693;185557;1651;1447;980;1113;192042;184110;192713;184444;41567;46251;34068;41641;63973;44872;50413;41551;46819;46467;44136;50174;4737;23198;9995;21902;15681;7448;17186;7750;;;;;14776;6675;23994;10026
96;Rhein-Sieg-Kreis I;5;Christlich Demokratische Union Deutschlands;238117;238627;238117;238627;199363;188217;199363;188217;1772;1751;1089;1393;197591;186466;198274;186824;44274;53213;35512;49529;70350;60776;63340;51474;22218;26270;24764;29305;8438;16604;9897;23122;34562;13045;34457;13604;;;;;11330;6242;13448;6353
97;Rhein-Sieg-Kreis II;5;Christlich Demokratische Union Deutschlands;214269;216063;214269;216063;183170;176637;183170;176637;1436;1317;891;1216;181734;175320;182279;175421;32287;41004;30333;41753;79638;70144;63717;51795;23157;26956;26800;31027;5879;13914;10261;23435;25830;10385;26034;10551;;;;;9770;4607;11888;5687
98;Oberbergischer Kreis;5;Christlich Demokratische Union Deutschlands;204344;206640;204344;206640;169836;160146;169836;160146;1577;1639;1229;1472;168259;158507;168607;158674;34869;42461;29969;42413;62101;53757;53401;44018;14812;19015;16032;19959;5476;15636;7771;19796;36265;15071;35721;15211;;;;;10064;4587;10598;5153
99;Rheinisch-Bergischer Kreis;5;Christlich Demokratische Union Deutschlands;214554;217193;214554;217193;184451;176933;184451;176933;1295;1349;1001;1037;183156;175584;183450;175896;34423;39827;33924;44429;77303;52714;61967;48224;25245;31626;27582;32285;9053;29576;10199;24373;22757;9518;24340;10051;;;;;9308;4845;11972;5222
100;Leverkusen – Köln IV;5;Sozialdemokratische Partei Deutschlands;206279;209102;206279;209102;165364;154163;165364;154163;1593;1403;1030;1163;163771;152760;164334;153000;53574;69662;34871;44586;41855;31197;40450;33246;18081;17290;23355;29329;5102;11050;6418;15931;25439;10797;25392;10966;;;;;14848;5657;19137;7318
101;Wuppertal I;5;Sozialdemokratische Partei Deutschlands;196546;202528;196546;202528;152965;146699;152965;146699;1527;1741;1004;1300;151438;144958;151961;145399;50775;54065;30725;42421;36823;31960;35769;30527;13019;18932;19111;25388;4561;13756;6282;15970;27691;11995;27221;12090;;;;;13824;6742;18583;8055
102;Solingen – Remscheid – Wuppertal II;5;Christlich Demokratische Union Deutschlands;216618;220204;216618;220204;173656;163495;173656;163495;1511;1526;1091;1277;172145;161969;172565;162218;47237;52852;34679;48196;55860;44778;49129;39413;14997;20967;19322;24296;5555;17406;8171;20256;31911;12335;31539;12506;;;;;12886;5099;14540;6076
