WKR_NR;Gebiet;gehört zu;Wahlberechtigte;Wahlberechtigte;Wahlberechtigte;Wahlberechtigte;Wählende;Wählende;Wählende;Wählende;Ungültige Stimmen;Ungültige Stimmen;Ungültige Stimmen;Ungültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;CDU;CDU;CDU;CDU;SPD;SPD;SPD;SPD;AFD;AFD;AFD;AFD;FDP;FDP;FDP;FDP;DIELINKE;DIELINKE;DIELINKE;DIELINKE;B90/GRÜNE;B90/GRÜNE;B90/GRÜNE;B90/GRÜNE;CSU;CSU;CSU;CSU
;;;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen
;;;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode
37;Lüchow-Dannenberg – Lüneburg;3;182673;180865;182673;180865;139183;141000;139183;141000;1546;1382;1077;861;137637;139618;138106;140139;34287;46740;29032;43861;38784;39169;41262;32865;8603;12131;9145;12498;9513;9245;13241;12959;5378;11729;6328;12705;34606;20604;30585;18906;;;;
38;Osnabrück-Land;3;199960;199131;199960;199131;151837;151302;151837;151302;1251;1226;1379;1107;150586;150076;150458;150195;54535;68379;42864;60737;44709;42438;48352;38529;9418;9934;10069;10940;13006;9576;16653;14603;3596;7908;3870;9156;22011;11613;22160;12346;;;;
39;Stadt Osnabrück;3;195467;196720;195467;196720;149541;152107;149541;152107;1335;2699;1031;938;148206;149408;148510;151169;43316;60185;34462;53977;44876;47279;44919;37336;6695;;6903;9499;10090;13353;14627;14309;6977;12521;6224;12759;34140;15108;34546;18353;;;;
40;Nienburg II – Schaumburg;3;193863;194800;193863;194800;142895;146673;142895;146673;1248;1196;1103;1019;141647;145477;141792;145654;43817;59128;33968;49896;50017;47615;49553;43307;11695;13292;12434;14945;8804;6539;14213;12430;3070;6530;3842;8289;18094;11206;19968;11831;;;;
41;Stadt Hannover I;3;176770;179883;176770;179883;128894;134805;128894;134805;1217;1390;1308;956;127677;133415;127586;133849;27303;39487;23410;36401;44538;47549;39511;36645;7549;11364;7677;12226;9550;8734;13282;13658;4662;9579;5768;12470;27851;12102;30360;16292;;;;
42;Stadt Hannover II;3;190336;193433;190336;193433;143712;149031;143712;149031;1184;1407;1262;940;142528;147624;142450;148091;26196;42713;22537;36203;46929;49744;40116;37964;6476;10590;6753;11241;9538;8165;13288;14735;7390;13775;8831;17823;37779;16486;41976;22079;;;;
43;Hannover-Land I;3;231250;232926;231250;232926;174581;181650;174581;181650;1464;1554;1879;1274;173117;180096;172702;180376;55185;72282;44529;62828;58297;59552;55464;48783;12942;17217;13295;18366;12557;9325;19550;18869;3981;8958;4504;10890;22490;10725;26219;14335;;;;
44;Celle – Uelzen;3;214482;214612;214482;214612;158022;162145;158022;162145;1388;1349;1192;1139;156634;160796;156830;161006;51504;68655;40993;58858;50635;48189;48332;40899;14498;16199;14423;17554;13412;8830;17990;16334;4357;7901;4680;9297;18773;9266;21882;12478;;;;
45;Gifhorn – Peine;3;219966;218556;219966;218556;166592;168861;166592;168861;1568;1488;1762;1288;165024;167373;164830;167573;40279;60345;37839;56567;72113;63294;58846;50445;15346;16501;16048;18289;10738;8062;16238;14004;3619;8827;4147;10166;15762;9342;21960;12094;;;;
46;Hameln-Pyrmont – Holzminden;3;184471;187377;184471;187377;132893;139780;132893;139780;1345;1311;1284;1107;131548;138469;131609;138673;33575;46181;29809;44424;56893;54130;48438;44190;11208;13143;11590;14054;9102;8034;13624;12531;3676;8220;3734;9130;13259;7511;17274;9995;;;;
47;Hannover-Land II;3;238323;239923;238323;239923;181202;188495;181202;188495;1654;1729;2110;1479;179548;186766;179092;187016;45721;65815;40612;58984;73088;69104;62024;55161;13377;17570;13850;19392;11883;10092;18320;17925;4095;10124;4994;12305;22283;10693;29201;16290;;;;
48;Hildesheim;3;215131;218349;215131;218349;161685;169613;161685;169613;1676;1752;1907;1316;160009;167861;159778;168297;41230;60457;36504;54871;61857;62448;55439;52077;11387;14433;12161;15695;11507;9330;15397;13876;5481;8502;5308;10932;22973;12691;26565;14806;;;;
49;Salzgitter – Wolfenbüttel;3;200922;206133;200922;206133;147218;157046;147218;157046;1794;1567;1496;1327;145424;155479;145722;155719;39541;45310;33453;45985;56157;66587;53411;50482;14331;18564;14415;19115;9544;7268;13463;12450;5675;9290;4478;11266;15353;6680;18105;10213;;;;
50;Braunschweig;3;187721;192041;187721;192041;140807;147712;140807;147712;1254;1362;1513;1055;139553;146350;139294;146657;31276;45881;25929;42534;51220;55641;42377;38695;8045;11377;8238;12268;9816;7877;14046;14684;5352;11145;6355;13673;28214;11761;33401;17295;;;;
51;Helmstedt – Wolfsburg;3;180147;183961;180147;183961;130671;137303;130671;137303;1623;1471;1467;1291;129048;135832;129204;136012;34367;47416;31827;47037;54349;51646;45414;40740;12339;13857;12241;14862;9766;7791;13073;10988;3575;8128;3496;9050;11305;6096;15481;8064;;;;
52;Goslar – Northeim – Osterode;3;197519;202963;197519;202963;143611;150977;143611;150977;1544;1605;1296;1187;142067;149372;142315;149790;47196;59391;33614;48131;52129;51953;53876;48016;11240;13937;11819;15132;8827;7438;14239;13734;3835;8525;4251;9521;14954;8128;17118;9929;;;;
53;Göttingen;3;214542;220420;214542;220420;161876;170547;161876;170547;2399;1439;1571;1223;159477;169108;160305;169324;42958;56250;34588;51177;51385;59032;51180;47871;;11870;9785;13446;15261;7734;15638;15421;8057;9905;8132;14748;37060;19131;32448;19676;;;;
3;Niedersachsen;99;6105381;6124582;6105381;6124582;4563142;4681871;4563142;4681871;44570;46554;39921;34895;4518572;4635317;4523221;4646976;1323070;1777588;1093579;1623481;1603785;1557197;1498500;1275172;292032;369663;336434;422362;347802;264801;474638;431405;142785;273064;148657;322979;646848;334541;726613;404825;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;Bremen I;4;245384;252496;245384;252496;186308;188064;186308;188064;1337;2627;1071;1688;184971;185437;185237;186376;39440;44912;32375;48458;55934;55656;53425;45729;9099;14290;9835;15539;13929;20702;18396;19138;15306;22666;15739;26425;39721;22117;44414;23568;;;;
55;Bremen II – Bremerhaven;4;214365;221655;214365;221655;144123;147855;144123;147855;2037;2249;1320;1908;142086;145606;142803;145947;28552;36363;24124;34951;52498;49463;49799;43215;12466;16645;12740;17705;8469;9755;12085;11918;10617;16739;9613;18204;20769;11269;24013;13165;;;;
4;Bremen;99;459749;474151;459749;474151;330431;335919;330431;335919;3374;4876;2391;3596;327057;331043;328040;332323;67992;81275;56499;83409;108432;105119;103224;88944;21565;30935;22575;33244;22398;30457;30481;31056;25923;39405;25352;44629;60490;33386;68427;36733;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;Prignitz – Ostprignitz-Ruppin – Havelland I;12;172726;176002;172726;176002;122512;120228;122512;120228;1675;1813;1504;1820;120837;118415;121008;118408;23433;36481;19414;35215;39853;28061;41163;24884;23799;21296;23221;22183;7355;4226;9070;6555;10845;20849;9754;19447;5623;3547;7677;4231;;;;
57;Uckermark – Barnim I;12;182836;184716;182836;184716;130965;129870;130965;129870;1815;1994;1719;1857;129150;127876;129246;128013;22991;39102;19818;36160;38247;24843;40543;21650;26163;25804;25748;26605;10964;4859;10422;7021;12316;23589;11617;23870;7528;4714;9095;5187;;;;
58;Oberhavel – Havelland II;12;249331;243108;249331;243108;195208;185012;195208;185012;2470;2722;2120;2402;192738;182290;193088;182610;39996;54455;33377;51968;50697;41423;55193;33856;30863;32762;30793;33987;17322;9514;19802;13912;15501;26839;12665;26091;19026;9685;20663;11684;;;;
59;Märkisch-Oderland – Barnim II;12;230391;226424;230391;226424;177065;170039;177065;170039;2856;2434;2567;2343;174209;167605;174498;167696;40804;47594;26254;42113;43117;26526;48712;25908;31929;33915;31820;34701;12270;7111;14939;11007;21700;37721;18004;34632;11742;8972;13954;7800;;;;
