WKR_NR;Gebiet;gehört zu;Wahlberechtigte;Wahlberechtigte;Wahlberechtigte;Wahlberechtigte;Wählende;Wählende;Wählende;Wählende;Ungültige Stimmen;Ungültige Stimmen;Ungültige Stimmen;Ungültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;CDU;CDU;CDU;CDU;SPD;SPD;SPD;SPD;AFD;AFD;AFD;AFD;FDP;FDP;FDP;FDP;DIELINKE;DIELINKE;DIELINKE;DIELINKE;B90/GRÜNE;B90/GRÜNE;B90/GRÜNE;B90/GRÜNE;CSU;CSU;CSU;CSU
;;;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen
;;;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode
236;Bamberg;9;182586;182513;182586;182513;148660;145222;148660;145222;865;1089;592;801;147795;144133;148068;144421;;;;;28123;29475;25698;22529;13279;16603;14284;18392;9821;9364;14336;13776;3625;7504;4676;9351;22728;13194;21898;14279;54726;60675;49463;56138
237;Bayreuth;9;162430;163934;162430;163934;129136;127222;129136;127222;806;1051;606;693;128330;126171;128530;126529;;;;;24840;26785;26584;23198;10777;11845;11636;13566;9182;8368;12020;11369;2577;5476;3294;7022;14064;8936;15647;9994;54465;58665;43768;53063
238;Coburg;9;156571;159654;156571;159654;123864;123200;123864;123200;921;1507;704;1021;122943;121693;123160;122179;;;;;32056;32163;31087;27553;11878;12763;12836;14208;6369;5877;10683;9967;2337;6305;3118;6895;10581;7129;11459;8155;44890;55078;39343;48410
239;Hof;9;162872;167552;162872;167552;125334;126918;125334;126918;879;1060;775;1126;124455;125858;124559;125792;;;;;29763;29641;30426;27775;14705;14893;14560;16605;6493;4716;10552;9890;2651;5560;3004;7185;7941;5936;9628;6989;51312;59182;41308;48772
240;Kulmbach;9;168923;170897;168923;170897;137178;135072;137178;135072;781;1395;671;1160;136397;133677;136507;133912;;;;;22103;21494;27009;23675;14416;15497;15774;17997;6480;5381;11399;10335;2448;5057;2982;6431;10165;5880;11966;7966;65163;74105;49389;58112
241;Ansbach;9;243174;243760;243174;243760;192508;185955;192508;185955;1514;2052;1022;1537;190994;183903;191486;184418;;;;;33819;33755;37642;31464;18418;19396;19142;21734;13016;7661;16213;13825;3798;11179;4904;12208;21343;13946;22325;16239;73312;81431;63299;74425
242;Erlangen;9;187299;186411;187299;186411;155377;152568;155377;152568;946;929;669;714;154431;151639;154708;151854;;;;;32036;31649;30146;26208;10669;12211;10872;14516;10382;8977;16062;15363;;8892;5817;11410;29923;16586;31222;20238;54223;64783;44664;54204
243;Fürth;9;250730;249810;250730;249810;197939;194222;197939;194222;1438;1674;996;1360;196501;192548;196943;192862;;;;;47153;44371;42329;36459;16858;20427;17692;22470;12883;10354;18765;17155;6221;13052;6946;15147;27111;18681;29778;20164;65876;76543;58976;67682
244;Nürnberg-Nord;9;188283;192214;188283;192214;145212;146205;145212;146205;1006;1282;726;902;144206;144923;144486;145303;;;;;31616;37068;30232;26456;8485;13398;8887;14503;10882;10379;14692;15412;7726;14511;8627;16962;32541;18463;34055;21909;41027;45340;34349;40106
245;Nürnberg-Süd;9;177316;181809;177316;181809;129560;132085;129560;132085;1137;1410;847;1107;128423;130675;128713;130978;;;;;31098;34621;29195;27467;13123;17270;12901;18679;8777;7632;11495;11199;5184;10772;4893;11640;15566;10163;17687;12166;44192;46511;38663;40882
246;Roth;9;229279;227560;229279;227560;189675;185895;189675;185895;1392;1709;945;1341;188283;184186;188730;184554;;;;;31806;37920;38786;34040;14944;18925;16043;21317;12596;8583;16974;15990;5076;8887;4950;11635;25140;14465;26197;18033;71478;81874;60980;69743
247;Aschaffenburg;9;182652;183362;182652;183362;146772;144938;146772;144938;1234;2048;1052;1508;145538;142890;145720;143430;;;;;24893;23660;30232;25198;13954;14985;13716;16642;11683;11381;16199;15610;3536;6833;4068;8699;19588;13144;20642;13432;59269;68708;45739;55009
248;Bad Kissingen;9;214061;216030;214061;216030;174164;171202;174164;171202;1624;1795;1059;1300;172540;169407;173105;169902;;;;;32844;32383;30540;26904;17130;17753;18434;19650;12206;9534;15211;15084;4475;9071;4820;10085;16467;11980;15874;11359;67458;86603;65063;75788
249;Main-Spessart;9;194408;196183;194408;196183;158133;157206;158133;157206;1348;1829;1066;1238;156785;155377;157067;155968;;;;;33700;35148;32771;28903;12576;14075;13918;16856;9514;7708;14151;13720;4070;7515;3685;8562;15813;11050;17806;11939;60489;72406;54097;65245
250;Schweinfurt;9;196710;199041;196710;199041;157357;156159;157357;156159;1554;1890;1005;1218;155803;154269;156352;154941;;;;;29037;26346;30482;26163;15468;17198;15687;18905;12408;9506;15039;13789;6552;12091;4928;10422;14747;11466;17085;11717;63697;73901;54441;63674
251;Würzburg;9;224907;225998;224907;225998;185659;182961;185659;182961;2155;1664;957;1054;183504;181297;184702;181907;;;;;33125;33929;37079;32126;;13872;12220;15764;19414;14592;19230;18813;7522;10130;7027;12931;36295;25359;35634;23719;67651;76515;55957;67585
252;Augsburg-Stadt;9;207543;210528;207543;210528;153315;153228;153315;153228;1004;1586;855;1174;152311;151642;152460;152054;;;;;27453;29285;29200;24112;13431;20170;13888;21015;12880;9191;16969;15149;7168;12850;6952;13649;31347;21062;28971;18782;42780;52769;38653;48420
253;Augsburg-Land;9;249372;245699;249372;245699;204737;196554;204737;196554;1650;1792;1070;1213;203087;194762;203667;195341;;;;;29435;27551;33405;24980;19660;24056;19481;26741;16032;11864;22301;20373;3573;7165;4176;9623;24806;14638;26207;17250;82423;92942;67883;80669
254;Donau-Ries;9;195774;193895;195774;193895;157033;150348;157033;150348;1109;1391;818;1018;155924;148957;156215;149330;;;;;29872;26824;25784;20549;15723;19022;17135;21889;9915;7433;15593;13632;3048;6264;2855;6801;11076;9607;14911;10299;64045;70080;54929;64800
255;Neu-Ulm;9;241919;239647;241919;239647;188813;182045;188813;182045;1479;1669;1099;1270;187334;180376;187714;180775;;;;;29960;26419;31900;24828;22517;24612;22293;27327;14542;10780;22019;18627;3466;7855;4410;9274;20621;16519;20764;14898;69676;80503;59028;72104
256;Oberallgäu;9;228803;226604;228803;226604;181755;176437;181755;176437;1617;1240;1014;1092;180138;175197;180741;175345;;;;;28401;21451;29910;21725;14473;16825;14350;18529;23604;12262;20953;18935;4911;8264;5043;10130;27817;16162;27393;19792;53566;88357;55017;72855
257;Ostallgäu;9;250575;247539;250575;247539;198667;191581;198667;191581;1542;1692;1024;1412;197125;189889;197643;190169;;;;;24288;21610;30914;23044;20021;24018;19779;25384;14258;10627;21561;19898;6667;10153;5007;10387;24128;16537;23712;16214;76399;93430;62635;79932
9;Bayern;99;9517664;9522371;9517664;9522371;7608980;7441006;7608980;7441006;55864;69317;37667;47796;7553116;7371689;7571313;7393210;;;;;1316303;1336404;1361242;1130931;634098;773542;679915;916300;579804;477884;798591;751248;187530;384368;210838;450803;1023735;661356;1067830;722116;2788048;3255487;2402827;2869688
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
258;Stuttgart I;8;191811;194368;191811;194368;157514;160834;157514;160834;832;1157;676;849;156682;159677;156838;159985;36605;51118;31536;46243;20012;20512;31003;23350;6295;10646;6591;11455;16504;13399;26036;26203;6447;10409;8127;14830;62594;47430;44559;31283;;;;
259;Stuttgart II;8;178958;182501;178958;182501;133588;139180;133588;139180;1124;1343;892;1153;132464;137837;132696;138027;34312;46166;28403;40109;27224;25469;30198;23458;9603;14345;9541;14899;14678;11903;20273;19210;6294;12321;6739;12553;31446;21850;28221;21071;;;;
260;Böblingen;8;245553;245678;245553;245678;195335;196557;195335;196557;1541;2271;1221;1657;193794;194286;194114;194900;57504;75323;50675;68991;40844;38053;39955;30296;16175;21842;16810;22874;32184;24867;35082;29510;4548;9715;5141;10434;30211;23206;32594;24746;;;;
261;Esslingen;8;166628;168715;166628;168715;131888;135479;131888;135479;868;1361;767;1094;131020;134118;131121;134385;41976;53665;33175;44748;28501;25697;29852;22579;9123;14390;9733;14692;16011;11657;20901;18512;3477;7853;4063;8361;24058;20501;23902;19565;;;;
262;Nürtingen;8;205967;207044;205967;207044;165777;168052;165777;168052;1302;1765;1207;1443;164475;166287;164570;166609;49506;65566;42826;56105;34617;31655;33995;25190;13597;19833;14327;20544;22765;16390;28807;24922;3970;7978;4357;9132;29619;24540;27702;23673;;;;
263;Göppingen;8;177107;178409;177107;178409;135606;137585;135606;137585;1599;2115;1183;1637;134007;135470;134423;135948;41558;50892;35079;45290;31824;29730;31422;23924;15818;19588;15412;19956;16481;12492;21723;17188;2958;5994;3338;6882;15932;16420;16916;16749;;;;
264;Waiblingen;8;221775;222891;221775;222891;175841;178340;175841;178340;1434;1933;1092;1447;174407;176407;174749;176893;50566;64958;44987;58372;39642;33898;37753;28146;15196;21863;15474;22870;27123;23568;30999;28617;4464;8626;5001;9881;26224;21542;27098;21539;;;;
265;Ludwigsburg;8;215312;218074;215312;218074;171843;175304;171843;175304;1300;1769;1001;1317;170543;173535;170842;173987;50297;66430;42297;58003;31409;30971;37284;28547;14392;20157;14313;19780;23891;17691;27611;25538;4886;9487;5275;10451;34663;24702;31433;24000;;;;
266;Neckar-Zaber;8;230738;229280;230738;229280;186673;186362;186673;186362;1622;1980;1237;1525;185051;184382;185436;184837;56249;73689;46315;60898;41708;36327;41369;30472;18478;23215;18702;24212;22792;16191;30783;27145;4357;8453;4851;9719;29015;23092;29048;24282;;;;
267;Heilbronn;8;240951;242553;240951;242553;182804;185705;182804;185705;1863;2595;1749;2419;180941;183110;181055;183286;50299;64591;43325;58755;43887;42455;40961;32489;23093;28575;23828;30089;24748;17566;29386;23872;4237;8448;5137;10520;23018;14920;23476;19016;;;;
268;Schwäbisch Hall – Hohenlohe;8;225874;225785;225874;225785;172687;171760;172687;171760;1561;1900;1457;1965;171126;169860;171230;169795;54894;68717;41947;58215;33568;31406;37272;27472;20579;22894;21787;24827;19941;14252;27850;21629;4090;7314;4980;9594;25825;21468;22734;20512;;;;
269;Backnang – Schwäbisch Gmünd;8;177062;176968;177062;176968;136436;136717;136436;136717;1435;1916;1012;1406;135001;134801;135424;135311;41176;55595;34991;47588;32904;26971;29341;22298;15802;17788;15979;19438;16198;10882;21397;16717;3929;7581;3927;7999;15587;15216;18579;15482;;;;
270;Aalen – Heidenheim;8;220686;221853;220686;221853;168655;170191;168655;170191;1722;2605;1410;1975;166933;167586;167245;168216;61832;77752;45852;64217;36501;35164;39468;31341;16988;18447;17937;20616;15708;10218;24562;17707;3905;8678;4538;9233;20364;16123;21226;18427;;;;
271;Karlsruhe-Stadt;8;205608;208868;205608;208868;159591;162139;159591;162139;1350;1633;1123;1228;158241;160506;158468;160911;30921;45821;27998;44776;33630;37924;33828;27044;10811;16073;10774;16741;15793;13829;20615;19251;7956;12155;8910;15452;47473;28268;44011;29408;;;;
272;Karlsruhe-Land;8;209147;209741;209147;209741;167946;168801;167946;168801;1687;2061;1313;1675;166259;166740;166633;167126;50581;67396;42831;59137;37948;32886;38474;28591;14963;19512;15869;20887;19066;15138;24660;21441;4040;7627;4483;9119;27755;19076;26969;20489;;;;
273;Rastatt;8;204890;206484;204890;206484;155331;157208;155331;157208;1736;2318;1531;1960;153595;154890;153800;155248;50988;68259;41495;58798;34847;29486;36442;26374;16455;18849;16333;19701;17764;11150;21250;17847;4212;7123;4280;8369;19962;16954;21926;17766;;;;
274;Heidelberg;8;218431;217934;218431;217934;177868;179138;177868;179138;1231;1568;1064;1306;176637;177570;176804;177832;42582;58019;36783;53138;35602;46219;40275;32806;10823;15803;10821;16850;15906;11769;23240;22556;6987;10751;8624;14812;53288;29664;45314;30491;;;;
275;Mannheim;8;196863;197289;196863;197289;142132;144078;142132;144078;1350;1504;1165;1355;140782;142574;140967;142723;27986;41812;25682;38746;37102;39795;35651;30309;13773;17833;12846;18309;14879;9835;18515;16050;6811;10493;7066;12989;31723;18739;29814;18803;;;;
276;Odenwald – Tauber;8;209418;210876;209418;210876;162058;163339;162058;163339;1806;2116;1564;2114;160252;161223;160494;161225;57391;75531;48866;64208;33083;30849;35578;27175;19374;21849;19208;22289;15549;11419;20943;17564;3722;8422;4084;8907;17695;11090;17748;13642;;;;
277;Rhein-Neckar;8;196882;198251;196882;198251;154085;156402;154085;156402;1588;1986;1403;1748;152497;154416;152682;154654;43487;57788;38871;51797;41205;36886;35847;28486;15296;20177;15701;20942;17769;12571;21941;18933;4006;8010;4320;9738;22696;14792;24072;17687;;;;
278;Bruchsal – Schwetzingen;8;195755;196426;195755;196426;152231;154622;152231;154622;2028;2264;1455;1932;150203;152358;150776;152690;44465;63166;38866;53147;32836;29684;34434;26560;17352;21960;17462;22794;17635;10255;21978;18180;3854;7016;4125;8674;22154;12641;20858;15500;;;;
279;Pforzheim;8;217126;219577;217126;219577;163982;167977;163982;167977;1441;2004;1365;1897;162541;165973;162617;166080;46291;60476;39324;54364;33957;31611;34262;27101;22943;26172;22028;27107;20632;19760;26504;22643;3772;7730;4342;8952;20679;16016;21213;17869;;;;
280;Calw;8;199092;198021;199092;198021;152863;153463;152863;153463;1350;1739;1275;1858;151513;151724;151588;151605;51208;65676;42841;56330;26111;25601;28571;21832;18668;21431;19473;22715;22685;14154;26770;21646;2998;6832;3656;7759;17712;13284;17301;14989;;;;
281;Freiburg;8;224392;222308;224392;222308;180976;180854;180976;180854;1207;1480;1103;1319;179769;179374;179873;179535;37111;50256;31296;50423;47198;40647;38183;31452;8107;12984;8854;14103;13835;9546;19145;16725;9604;13172;12429;20168;51777;46115;56861;38002;;;;
282;Lörrach – Müllheim;8;231076;232208;231076;232208;174064;177399;174064;177399;1720;1882;1495;1695;172344;175517;172569;175704;43509;69148;38501;60513;37496;36986;41834;31249;13981;16854;14195;18459;24430;15271;24669;19449;4580;8854;5532;10898;35558;26244;32817;27014;;;;
283;Emmendingen – Lahr;8;218872;218287;218872;218287;168004;168468;168004;168468;1349;2112;1432;2024;166655;166356;166572;166444;46406;62476;41323;59784;46316;39472;39727;29738;14396;18027;14971;19139;16620;14275;22136;17626;4921;8691;5209;9588;23345;18537;28724;22806;;;;
284;Offenburg;8;205893;205551;205893;205551;156776;155724;156776;155724;1623;2118;1576;2075;155153;153606;155200;153649;54148;73935;40210;57033;29003;26532;33043;25406;13876;15899;15320;17800;16692;9593;22799;16940;4254;8264;4423;8411;21717;19383;23083;21220;;;;
285;Rottweil – Tuttlingen;8;198182;199227;198182;199227;149664;152001;149664;152001;1826;1971;1851;1951;147838;150030;147813;150050;46535;64558;40818;57060;23989;23855;27523;21900;20293;19543;19747;20942;24784;16255;26768;20328;3177;5825;3320;7141;18184;14299;16036;15329;;;;
286;Schwarzwald-Baar;8;162800;165041;162800;165041;122862;125344;122862;125344;1370;1654;1340;1615;121492;123690;121522;123729;44188;58149;32309;46812;21996;20672;25814;19337;12795;14069;13097;15350;16747;10438;19696;15124;2757;5347;3062;6608;14692;12085;16181;15113;;;;
287;Konstanz;8;206009;205135;206009;205135;157563;158861;157563;158861;1277;1752;1163;1478;156286;157109;156400;157383;53362;70355;36209;52194;31486;26396;32657;24529;13487;15006;13341;16215;17047;11425;23509;20758;5591;11003;5804;11306;28142;21052;32913;25202;;;;
288;Waldshut;8;177275;177806;177275;177806;136195;136595;136195;136595;1318;1536;1173;1466;134877;135059;135022;135129;45335;56528;35595;53066;34449;32522;30782;22122;11420;12388;11265;13299;10217;8402;18422;14647;3606;6767;3895;7369;20679;16030;23294;18842;;;;
289;Reutlingen;8;199189;199934;199189;199934;153820;157642;153820;157642;1343;1839;1245;1583;152477;155803;152575;156059;49631;63494;39504;53873;27236;23397;31535;23321;15356;18702;15652;20171;20411;15533;25288;21425;6169;9711;5081;9543;25399;22309;24197;21695;;;;
290;Tübingen;8;198791;196488;198791;196488;160835;159801;160835;159801;1207;1615;1054;1391;159628;158186;159781;158410;43024;56446;34775;48828;28982;27325;32576;24865;12484;13684;12548;15887;15059;12504;22678;18718;7526;13862;8231;15096;40978;30197;37424;28521;;;;
291;Ulm;8;223376;222673;223376;222673;177537;177460;177537;177460;1539;2016;1372;1597;175998;175444;176165;175863;57608;74849;46805;64988;32176;35456;36418;27889;15932;18734;16046;20432;19745;14173;25389;20277;4604;8105;5377;9976;33012;20990;31238;24160;;;;
292;Biberach;8;169147;167025;169147;167025;133345;131693;133345;131693;1174;1611;1115;1418;132171;130082;132230;130275;46458;57837;40472;56162;24567;22034;23152;16557;13469;14640;14308;16236;13045;9775;19163;14321;2064;4907;2967;5997;17912;17589;18070;14729;;;;
293;Bodensee;8;174430;172782;174430;172782;137838;137146;137838;137146;1083;1352;990;1195;136755;135794;136848;135951;41624;56165;36571;50428;28501;24451;26989;19321;12584;14079;11916;14164;16751;11999;21611;17954;3705;7185;3905;8316;23385;18811;23635;20015;;;;
294;Ravensburg;8;187817;186958;187817;186958;147020;146174;147020;146174;1080;1517;1042;1387;145940;144657;145978;144787;44597;55758;38927;56264;20128;17958;27750;19398;11727;13668;12650;14901;20934;14672;21740;16441;4365;7860;4735;8889;30743;29216;25536;21770;;;;
295;Zollernalb – Sigmaringen;8;182648;183588;182648;183588;138084;139548;138084;139548;1688;2354;1544;1821;136396;137194;136540;137727;41106;61694;39332;52284;24970;19716;26716;19446;15554;18609;16477;18814;18678;12695;23200;18394;2848;6450;3540;7061;23118;17489;15503;15798;;;;
8;Baden-Württemberg;99;7711531;7732597;7711531;7732597;5997317;6053943;5997317;6053943;54574;70712;47657;60975;5942743;5983231;5949660;5992968;1767316;2350054;1477612;2061687;1247455;1166668;1287934;982370;561058;690128;571336;730499;711697;517512;908039;762008;175691;325019;196874;380727;1058334;801880;1022226;807205;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
296;Saarbrücken;10;192929;199885;192929;199885;142697;147602;142697;147602;2299;2304;2223;2172;140398;145298;140474;145430;35252;45664;28797;41394;51749;46688;53537;38322;12569;12950;13006;14042;11647;7672;16438;11753;8711;19262;13484;21669;11143;8782;;11748;;;;
297;Saarlouis;10;203279;207501;203279;207501;159170;160430;159170;160430;3047;2415;2891;2825;156123;158015;156279;157605;43671;60102;38085;52981;57354;50672;56920;42476;15111;14224;15651;15506;12777;6069;18872;12059;8405;17142;10512;20320;7383;5532;;8598;;;;
298;St. Wendel;10;173074;177468;173074;177468;139808;141387;139808;141387;2828;2618;2776;2689;136980;138769;137032;138698;43928;57987;36248;50660;48135;42129;51229;38368;12346;11646;12904;12627;11354;6517;14916;9569;5783;13584;7887;15686;5739;4674;;6662;;;;
299;Homburg;10;185941;192410;185941;192410;142288;145992;142288;145992;2676;2671;2405;2467;139612;143321;139883;143525;36472;48102;32004;44538;51091;45022;52091;39729;16210;15767;16068;16745;11015;7369;15719;11096;7312;15724;9247;17773;6826;7128;;8109;;;;
10;Saarland;99;755223;777264;755223;777264;583963;595411;583963;595411;10850;10008;10295;10153;573113;585403;573668;585258;159323;211855;135134;189573;208329;184511;213777;158895;56236;54587;57629;58920;46793;27627;65945;44477;30211;65712;41130;75448;31091;26116;;35117;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;Bundesgebiet;;61172771;61688485;61172771;61688485;46707343;46976341;46707343;46976341;488483;586726;408956;460849;46218860;46389615;46298387;46515492;10445920;14030751;8774920;12447656;12184096;11429231;11901558;9539381;4699926;5317499;4809233;5878115;4019565;3249238;5291013;4999449;2286070;3966637;2255864;4297270;6435380;3717922;6814408;4158400;2788048;3255487;2402827;2869688
